강좌번호,학점,교과목명,구분,시간,개설대학,담당교수,성향,강의시간,시간벡터
TCHR0520-001,2.0,생활지도및상담(교직소양),교직,"목 6A,6B
목 7A,7B",사범대학,김은영,"2,0,0,2,0,0,2,0,1,2,1,1,3,0,3,2","목 14.0, 14.5
목 15.0, 15.5","['목 14.0', '목 14.5', '목 15.0', '목 15.5']"
TCHR0520-002,2.0,생활지도및상담(교직소양),교직,"월 10A,10B
월 11A,11B",사범대학,박민주,"2,1,0,2,0,0,0,2,3,1,3,1,3,0,2,1","월 18.0, 18.5
월 19.0","['월 18.0', '월 18.5', '월 19.0']"
TCHR0520-003,2.0,생활지도및상담(교직소양),교직,"화 2A,2B
화 3A,3B",사범대학,채선화,"2,1,0,2,0,2,3,3,3,3,1,3,3,2,0,0","화 10.0, 10.5
화 11.0, 11.5","['화 10.0', '화 10.5', '화 11.0', '화 11.5']"
TCHR0520-004,2.0,생활지도및상담(교직소양),교직,"화 9A,9B
화 10A,10B",사범대학,김은정,"2,0,0,0,3,3,2,2,0,0,2,1,1,0,2,0","화 17.0, 17.5
화 18.0, 18.5","['화 17.0', '화 17.5', '화 18.0', '화 18.5']"
TCHR0520-005,2.0,생활지도및상담(교직소양),교직,"목 9A,9B
목 10A,10B",사범대학,최명희,"2,0,0,3,0,2,1,1,3,3,0,3,3,3,1,3","목 17.0, 17.5
목 18.0, 18.5","['목 17.0', '목 17.5', '목 18.0', '목 18.5']"
TCHR0520-006,2.0,생활지도및상담(교직소양),교직,"금 10A,10B
금 11A,11B",사범대학,전정임,"3,3,0,3,3,0,1,2,3,3,3,1,1,3,2,1","금 18.0, 18.5
금 19.0","['금 18.0', '금 18.5', '금 19.0']"
TCHR0521-001,1.0,교직실무 1,교직,"수 6A,6B",사범대학,최명희,"1,1,3,0,0,3,0,3,3,0,0,3,1,1,1,1","수 14.0, 14.5","['수 14.0', '수 14.5']"
TCHR0521-002,1.0,교직실무 1,교직,"수 7A,7B",사범대학,박명심,"0,3,3,2,2,2,2,2,1,2,2,0,1,1,1,1","수 15.0, 15.5","['수 15.0', '수 15.5']"
TCHR0521-003,1.0,교직실무 1,교직,"수 8A,8B",사범대학,박명심,"1,3,2,1,1,2,0,2,1,0,3,1,2,0,3,0","수 16.0, 16.5","['수 16.0', '수 16.5']"
TCHR0523-001,2.0,교직실무 2,교직,"수 1A,1B
수 2A,2B",사범대학,박균섭,"2,1,2,0,1,2,3,1,1,0,0,3,2,0,0,1","수 9.0, 9.5
수 10.0, 10.5","['수 9.0', '수 9.5', '수 10.0', '수 10.5']"
TCHR0523-002,2.0,교직실무 2,교직,"수 7A,7B
수 8A,8B",사범대학,최명희,"3,2,0,3,2,2,1,0,2,3,2,0,3,1,1,1","수 15.0, 15.5
수 16.0, 16.5","['수 15.0', '수 15.5', '수 16.0', '수 16.5']"
TCHR0523-003,2.0,교직실무 2,교직,"목 5A,5B
목 6A,6B",사범대학,이지은,"3,3,3,2,0,2,3,3,3,3,1,2,1,1,1,3","목 13.0, 13.5
목 14.0, 14.5","['목 13.0', '목 13.5', '목 14.0', '목 14.5']"
TCHR0523-004,2.0,교직실무 2,교직,"목 7A,7B
목 8A,8B",사범대학,이지은,"3,2,0,0,2,1,1,0,1,2,3,1,3,3,2,0","목 15.0, 15.5
목 16.0, 16.5","['목 15.0', '목 15.5', '목 16.0', '목 16.5']"
TCHR0523-005,2.0,교직실무 2,교직,"목 9A,9B
목 10A,10B",사범대학,김영주,"3,0,0,2,3,1,0,1,2,3,3,2,0,1,2,1","목 17.0, 17.5
목 18.0, 18.5","['목 17.0', '목 17.5', '목 18.0', '목 18.5']"
TCHR0523-006,2.0,교직실무 2,교직,"금 5A,5B
금 6A,6B",사범대학,박명심,"3,2,2,2,2,0,0,3,3,1,3,0,2,1,3,1","금 13.0, 13.5
금 14.0, 14.5","['금 13.0', '금 13.5', '금 14.0', '금 14.5']"
TCHR0528-002,2.0,특수교육학개론,교직,"월 3A,3B
월 4A,4B",사범대학,정경희,"0,0,3,2,3,3,3,1,3,2,2,1,1,0,1,2","월 11.0, 11.5
월 12.0, 12.5","['월 11.0', '월 11.5', '월 12.0', '월 12.5']"
TCHR0528-003,2.0,특수교육학개론,교직,"월 5A,5B
월 6A,6B",사범대학,정경희,"2,1,3,0,1,1,0,0,3,0,1,3,2,2,2,3","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
TCHR0528-004,2.0,특수교육학개론,교직,"화 5A,5B
화 6A,6B",사범대학,차세진,"2,1,1,2,3,0,0,3,3,2,1,3,3,3,2,1","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
TCHR0528-005,2.0,특수교육학개론,교직,"수 5A,5B
수 6A,6B",사범대학,차세진,"2,2,2,1,0,3,2,1,2,2,1,2,0,2,3,0","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0528-006,2.0,특수교육학개론,교직,"금 5A,5B
금 6A,6B",사범대학,배민정,"3,1,3,1,1,1,3,1,2,1,0,1,2,1,1,0","금 13.0, 13.5
금 14.0, 14.5","['금 13.0', '금 13.5', '금 14.0', '금 14.5']"
TCHR0528-007,2.0,특수교육학개론,교직,"금 7A,7B
금 8A,8B",사범대학,배민정,"2,2,0,1,0,1,3,2,1,3,3,2,3,2,3,3","금 15.0, 15.5
금 16.0, 16.5","['금 15.0', '금 15.5', '금 16.0', '금 16.5']"
TCHR0553-001,1.0,디지털 교육,교직,"화 7A,7B",사범대학,강이철,"3,1,2,3,0,2,2,3,3,3,1,1,1,2,3,2","화 15.0, 15.5","['화 15.0', '화 15.5']"
TCHR0553-002,1.0,디지털 교육,교직,"화 8A,8B",사범대학,강이철,"3,0,0,2,1,0,3,2,2,0,1,1,3,0,2,3","화 16.0, 16.5","['화 16.0', '화 16.5']"
TCHR0553-003,1.0,디지털 교육,교직,"목 7A,7B",사범대학,강이철,"1,2,0,1,0,1,2,2,0,2,0,2,3,2,0,3","목 15.0, 15.5","['목 15.0', '목 15.5']"
TCHR0553-004,1.0,디지털 교육,교직,"목 8A,8B",사범대학,석보영,"3,2,3,1,1,2,2,3,3,2,1,1,1,0,3,3","목 16.0, 16.5","['목 16.0', '목 16.5']"
TCHR0601-001,2.0,교육과정,교직,"월 7A,7B
월 8A,8B",사범대학,강현석,"0,2,1,3,2,0,2,1,0,3,0,3,0,1,3,2","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
TCHR0601-002,2.0,교육과정,교직,"목 3A,3B
목 4A,4B",사범대학,김수영,"2,0,0,1,2,1,2,2,3,0,0,2,2,0,2,1","목 11.0, 11.5
목 12.0, 12.5","['목 11.0', '목 11.5', '목 12.0', '목 12.5']"
TCHR0601-003,2.0,교육과정,교직,"목 7A,7B
목 8A,8B",사범대학,김수영,"2,1,2,3,0,0,3,2,1,2,2,1,0,3,1,3","목 15.0, 15.5
목 16.0, 16.5","['목 15.0', '목 15.5', '목 16.0', '목 16.5']"
TCHR0601-004,2.0,교육과정,교직,"화 7A,7B
화 8A,8B",사범대학,이지은,"1,1,1,1,3,3,1,2,3,2,2,0,1,2,1,1","화 15.0, 15.5
화 16.0, 16.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5']"
TCHR0601-005,2.0,교육과정,교직,"화 9A,9B
화 10A,10B",사범대학,이지은,"3,1,1,1,3,2,2,1,0,0,1,2,1,2,0,1","화 17.0, 17.5
화 18.0, 18.5","['화 17.0', '화 17.5', '화 18.0', '화 18.5']"
TCHR0604-002,2.0,교육방법및교육공학,교직,"월 5A,5B
월 6A,6B",사범대학,석보영,"3,1,1,1,3,2,2,2,0,2,2,1,1,3,0,3","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
TCHR0604-003,2.0,교육방법및교육공학,교직,"월 7A,7B
월 8A,8B",사범대학,석보영,"1,3,2,1,0,0,2,3,3,1,3,1,2,1,2,2","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
TCHR0604-004,2.0,교육방법및교육공학,교직,"수 3A,3B
수 4A,4B",사범대학,박기용,"3,2,0,1,3,1,1,2,2,2,2,0,1,3,0,1","수 11.0, 11.5
수 12.0, 12.5","['수 11.0', '수 11.5', '수 12.0', '수 12.5']"
TCHR0604-005,2.0,교육방법및교육공학,교직,"수 5A,5B
수 6A,6B",사범대학,박기용,"2,0,2,2,3,1,3,1,2,3,0,0,2,1,0,3","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0604-006,2.0,교육방법및교육공학,교직,"목 5A,5B
목 6A,6B",사범대학,박기용,"0,2,0,0,2,0,2,1,3,3,0,2,1,3,0,3","목 13.0, 13.5
목 14.0, 14.5","['목 13.0', '목 13.5', '목 14.0', '목 14.5']"
TCHR0606-002,2.0,교육사회,교직,"화 3A,3B
화 4A,4B",사범대학,박명희,"0,1,2,0,3,2,1,0,2,1,3,3,0,3,2,0","화 11.0, 11.5
화 12.0, 12.5","['화 11.0', '화 11.5', '화 12.0', '화 12.5']"
TCHR0606-003,2.0,교육사회,교직,"수 9A,9B
수 10A,10B",사범대학,박명희,"2,2,2,1,1,2,1,3,0,0,0,1,0,3,3,1","수 17.0, 17.5
수 18.0, 18.5","['수 17.0', '수 17.5', '수 18.0', '수 18.5']"
TCHR0606-004,2.0,교육사회,교직,"수 9A,9B
수 10A,10B",사범대학,서봉언,"1,2,0,1,3,2,0,2,0,3,1,0,1,1,3,3","수 17.0, 17.5
수 18.0, 18.5","['수 17.0', '수 17.5', '수 18.0', '수 18.5']"
TCHR0606-005,2.0,교육사회,교직,"금 8A,8B
금 9A,9B",사범대학,김원영,"3,3,3,1,1,3,2,1,1,3,3,0,1,3,0,3","금 16.0, 16.5
금 17.0, 17.5","['금 16.0', '금 16.5', '금 17.0', '금 17.5']"
TCHR0607-002,2.0,교육심리,교직,"월 5A,5B
월 6A,6B",사범대학,이창현,"1,1,2,2,1,1,2,0,0,3,3,1,3,1,0,1","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
TCHR0607-003,2.0,교육심리,교직,"화 3A,3B
화 4A,4B",사범대학,문주연,"0,2,2,3,0,3,0,0,2,1,1,2,1,2,2,1","화 11.0, 11.5
화 12.0, 12.5","['화 11.0', '화 11.5', '화 12.0', '화 12.5']"
TCHR0607-004,2.0,교육심리,교직,"수 8A,8B
수 9A,9B",사범대학,문주연,"1,3,2,1,0,2,0,3,1,2,2,0,0,1,3,3","수 16.0, 16.5
수 17.0, 17.5","['수 16.0', '수 16.5', '수 17.0', '수 17.5']"
TCHR0607-005,2.0,교육심리,교직,"목 6A,6B
목 7A,7B",사범대학,정유지,"0,2,3,3,2,0,0,0,2,2,3,0,0,0,2,1","목 14.0, 14.5
목 15.0, 15.5","['목 14.0', '목 14.5', '목 15.0', '목 15.5']"
TCHR0607-006,2.0,교육심리,교직,"목 8A,8B
목 9A,9B",사범대학,정유지,"1,3,2,3,3,3,3,0,1,0,3,1,3,2,3,2","목 16.0, 16.5
목 17.0, 17.5","['목 16.0', '목 16.5', '목 17.0', '목 17.5']"
TCHR0609-002,2.0,교육철학및교육사,교직,"월 1A,1B
월 2A,2B",사범대학,박균섭,"2,2,0,1,3,3,0,1,0,3,3,0,3,3,0,2","월 9.0, 9.5
월 10.0, 10.5","['월 9.0', '월 9.5', '월 10.0', '월 10.5']"
TCHR0609-003,2.0,교육철학및교육사,교직,"월 5A,5B
월 6A,6B",사범대학,박청미,"2,3,3,2,0,1,0,0,2,1,0,0,2,2,0,3","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
TCHR0609-004,2.0,교육철학및교육사,교직,"화 3A,3B
화 4A,4B",사범대학,송수진,"0,1,2,2,0,3,3,0,1,2,2,0,0,1,1,2","화 11.0, 11.5
화 12.0, 12.5","['화 11.0', '화 11.5', '화 12.0', '화 12.5']"
TCHR0609-006,2.0,교육철학및교육사,교직,"금 3A,3B
금 4A,4B",사범대학,이경숙,"2,1,0,3,1,3,1,2,2,2,1,0,1,2,3,3","금 11.0, 11.5
금 12.0, 12.5","['금 11.0', '금 11.5', '금 12.0', '금 12.5']"
TCHR0610-002,2.0,교육평가,교직,"목 3A,3B
목 4A,4B",사범대학,손원숙,"0,0,1,0,2,2,3,0,3,0,1,0,3,3,3,3","목 11.0, 11.5
목 12.0, 12.5","['목 11.0', '목 11.5', '목 12.0', '목 12.5']"
TCHR0610-003,2.0,교육평가,교직,"수 3A,3B
수 4A,4B",사범대학,유신복,"1,3,3,2,0,3,3,3,0,2,0,2,0,0,0,1","수 11.0, 11.5
수 12.0, 12.5","['수 11.0', '수 11.5', '수 12.0', '수 12.5']"
TCHR0610-004,2.0,교육평가,교직,"수 5A,5B
수 6A,6B",사범대학,유신복,"2,1,3,3,3,3,3,1,3,0,3,2,0,1,2,3","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0610-005,2.0,교육평가,교직,"화 3A,3B
화 4A,4B",사범대학,박민애,"0,3,0,2,3,2,1,1,2,1,0,2,2,1,1,1","화 11.0, 11.5
화 12.0, 12.5","['화 11.0', '화 11.5', '화 12.0', '화 12.5']"
TCHR0610-006,2.0,교육평가,교직,"화 8A,8B
화 9A,9B",사범대학,김재욱,"1,3,2,2,3,2,0,3,2,1,1,2,0,1,3,3","화 16.0, 16.5
화 17.0, 17.5","['화 16.0', '화 16.5', '화 17.0', '화 17.5']"
TCHR0611-002,2.0,교육학개론,교직,"금 1A,1B
금 2A,2B",사범대학,박균섭,"0,0,3,3,1,1,1,2,2,0,2,0,0,0,1,0","금 9.0, 9.5
금 10.0, 10.5","['금 9.0', '금 9.5', '금 10.0', '금 10.5']"
TCHR0611-003,2.0,교육학개론,교직,"월 7A,7B
월 8A,8B",사범대학,박청미,"2,3,2,3,0,3,0,3,0,3,0,2,2,1,3,0","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
TCHR0611-004,2.0,교육학개론,교직,"목 5A,5B
목 6A,6B",사범대학,송수진,"3,3,2,1,3,0,3,2,0,0,3,3,1,1,3,0","목 13.0, 13.5
목 14.0, 14.5","['목 13.0', '목 13.5', '목 14.0', '목 14.5']"
TCHR0611-005,2.0,교육학개론,교직,"화 7A,7B
화 8A,8B",사범대학,현영섭,"0,3,1,2,1,0,1,1,3,2,3,2,2,0,1,3","화 15.0, 15.5
화 16.0, 16.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5']"
TCHR0611-006,2.0,교육학개론,교직,"목 7A,7B
목 8A,8B",사범대학,신은경,"1,0,0,1,3,2,3,0,1,1,2,3,2,3,1,3","목 15.0, 15.5
목 16.0, 16.5","['목 15.0', '목 15.5', '목 16.0', '목 16.5']"
TCHR0612-001,2.0,교육행정및교육경영,교직,"화 5A,5B
화 6A,6B",사범대학,강호수,"2,2,0,3,1,2,2,1,0,2,2,0,0,1,2,2","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
TCHR0612-002,2.0,교육행정및교육경영,교직,"월 5A,5B
월 6A,6B",사범대학,정은경,"2,2,1,3,3,3,1,2,3,1,2,0,1,1,1,3","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
TCHR0612-003,2.0,교육행정및교육경영,교직,"월 7A,7B
월 8A,8B",사범대학,정은경,"0,1,3,1,0,2,1,0,0,0,1,0,0,2,2,0","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
TCHR0612-004,2.0,교육행정및교육경영,교직,"수 5A,5B
수 6A,6B",사범대학,정은경,"0,0,1,1,2,1,2,0,1,2,1,1,2,2,1,1","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0612-005,2.0,교육행정및교육경영,교직,"수 7A,7B
수 8A,8B",사범대학,정은경,"3,2,1,0,0,3,2,0,0,1,3,2,3,3,0,0","수 15.0, 15.5
수 16.0, 16.5","['수 15.0', '수 15.5', '수 16.0', '수 16.5']"
TCHR0621-001,3.0,교육학교육론,교직,"화 7A,7B,8A
목 7A,7B,8A",사범대학,강현석,"2,0,3,1,0,0,0,3,2,1,0,1,0,0,3,0","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
CLTR0003-002,3.0,실용화법,교양,"월 2B,3A,3B
금 1A,1B,2A",사범대학,김령환,"1,0,2,0,1,3,3,2,1,3,1,1,2,0,2,1","월 10.5, 11.0, 11.5
금 9.0, 9.5, 10.0","['월 10.5', '월 11.0', '월 11.5', '금 9.0', '금 9.5', '금 10.0']"
CLTR0016-007,3.0,교양한문,교양,"월 8B,9A,9B
수 7A,7B,8A",사범대학,이규필,"2,0,3,0,3,1,2,2,1,0,3,2,1,3,0,0","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0041-016,3.0,한국사,교양,"수 8B,9A,9B
금 8B,9A,9B",사범대학,김진한,"0,3,2,1,3,1,3,0,3,2,2,1,2,0,2,1","수 16.5, 17.0, 17.5
금 16.5, 17.0, 17.5","['수 16.5', '수 17.0', '수 17.5', '금 16.5', '금 17.0', '금 17.5']"
CLTR0205-030,3.0,대학글쓰기,교양,"월 7A,7B,8A
금 7A,7B,8A",사범대학,배선윤,"3,1,3,2,2,2,2,2,3,3,1,0,2,3,2,2","월 15.0, 15.5, 16.0
금 15.0, 15.5, 16.0","['월 15.0', '월 15.5', '월 16.0', '금 15.0', '금 15.5', '금 16.0']"
TCHR0622-001,3.0,국어교육론,교직,"월 5B,6A,6B
수 5B,6A,6B",사범대학,김혜정,"3,2,3,2,1,3,0,2,3,2,1,1,2,1,3,3","월 13.5, 14.0, 14.5
수 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '수 13.5', '수 14.0', '수 14.5']"
TCHR0662-001,3.0,국어교재연구및지도법,교직,"월 5A,5B
월 6A,6B
수 5A,5B
수 6A,6B",사범대학,고춘화,"1,1,2,1,3,2,3,3,0,1,1,0,3,0,0,3","월 13.0, 13.5
월 14.0, 14.5
수 13.0, 13.5
수 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '수 13.0', '수 13.5', '수 14.0', '수 14.5']"
CLTR0078-003,3.0,심리학의이해,교양,"수 8B,9A,9B
금 8B,9A,9B",사범대학,허주연,"1,2,3,3,1,2,1,0,2,0,2,0,2,3,2,3","수 16.5, 17.0, 17.5
금 16.5, 17.0, 17.5","['수 16.5', '수 17.0', '수 17.5', '금 16.5', '금 17.0', '금 17.5']"
CLTR0205-031,3.0,대학글쓰기,교양,"화 1A,1B,2A
목 2B,3A,3B",사범대학,이상숙,"0,3,1,2,2,0,1,1,1,2,1,2,3,0,0,3","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
CLTR0042-002,3.0,동양의역사와문화,교양,"월 8B,9A,9B
수 7A,7B,8A",사범대학,이영철,"1,3,3,1,3,0,3,0,2,0,1,3,2,2,0,2","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0103-006,3.0,과학사의이해,교양,"화 1A,1B,2A
목 2B,3A,3B",사범대학,민길식,"3,0,3,2,2,3,3,3,2,1,0,2,1,1,1,2","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
TCHR0628-001,3.0,역사교육론,교직,"화 1A,1B,2A
수 1A,1B,2A",사범대학,방지원,"1,3,0,0,1,3,3,1,1,0,1,0,3,0,0,0","화 9.0, 9.5, 10.0
수 9.0, 9.5, 10.0","['화 9.0', '화 9.5', '화 10.0', '수 9.0', '수 9.5', '수 10.0']"
TCHR0668-001,3.0,역사교재연구및지도법,교직,"월 5A,5B
월 6A,6B
월 7A,7B
월 8A,8B
월 9A,9B",사범대학,방지원,"3,2,1,1,2,2,3,0,0,0,0,0,2,3,1,1","월 13.0, 13.5
월 14.0, 14.5
월 15.0, 15.5
월 16.0, 16.5
월 17.0, 17.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '월 15.0', '월 15.5', '월 16.0', '월 16.5', '월 17.0', '월 17.5']"
TCHR0668-002,3.0,역사교재연구및지도법,교직,"수 5B,6A,6B
수 7A,7B,8A",사범대학,방지원,"2,2,3,3,0,3,2,0,0,3,0,3,2,3,0,2","수 13.5, 14.0, 14.5
수 15.0, 15.5, 16.0","['수 13.5', '수 14.0', '수 14.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0101-007,3.0,인간과자연,교양,"수 1A,1B,2A
금 2B,3A,3B",사범대학,최재우,"1,3,1,3,2,3,1,1,1,0,3,1,0,3,0,2","수 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['수 9.0', '수 9.5', '수 10.0', '금 10.5', '금 11.0', '금 11.5']"
TCHR0476-001,3.0,지리 논리 및 논술지도,교직,"화 5A,5B
화 6A,6B
목 5A,5B
목 6A,6B",사범대학,조철기,"0,3,0,1,1,1,2,2,3,1,3,1,3,1,0,3","화 13.0, 13.5
화 14.0, 14.5
목 13.0, 13.5
목 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5', '목 13.0', '목 13.5', '목 14.0', '목 14.5']"
TCHR0633-001,3.0,지리교육론,교직,"화 1A,1B,2A
목 1A,1B,2A",사범대학,조철기,"0,0,2,3,2,1,3,1,3,2,2,3,3,0,0,0","화 9.0, 9.5, 10.0
목 9.0, 9.5, 10.0","['화 9.0', '화 9.5', '화 10.0', '목 9.0', '목 9.5', '목 10.0']"
CLTR0094-003,3.0,문화인류학의이해,교양,"화 7A,7B,8A
목 7A,7B,8A",사범대학,이준원,"2,3,0,1,2,1,0,1,0,3,3,2,0,2,3,3","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
CLTR0112-003,3.0,생활속의통계,교양,"화 1A,1B,2A
목 2B,3A,3B",사범대학,윤연옥,"0,1,1,2,3,1,3,3,3,2,2,0,1,1,0,2","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
